,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
121,121,28/9/2022,36.5,30.0,28/9/2022
122,122,28/9/2022,36.5,30.0,28/9/2022
123,123,28/9/2022,36.4,30.0,28/9/2022
124,124,28/9/2022,36.4,30.1,28/9/2022
125,125,28/9/2022,36.5,30.3,28/9/2022
126,126,28/9/2022,36.5,30.3,28/9/2022
127,127,28/9/2022,36.6,30.4,28/9/2022
128,128,28/9/2022,36.5,30.4,28/9/2022
129,129,28/9/2022,36.5,30.5,28/9/2022
130,130,28/9/2022,36.6,30.4,28/9/2022
131,131,28/9/2022,36.3,30.3,28/9/2022
132,132,28/9/2022,36.2,30.6,28/9/2022
133,133,28/9/2022,36.2,30.7,28/9/2022
134,134,28/9/2022,36.3,30.8,28/9/2022
135,135,28/9/2022,36.3,30.9,28/9/2022
136,136,28/9/2022,36.3,30.7,28/9/2022
137,137,28/9/2022,36.3,30.7,28/9/2022
138,138,28/9/2022,36.2,30.8,28/9/2022
139,139,28/9/2022,36.2,30.8,28/9/2022
140,140,28/9/2022,36.2,31.0,28/9/2022
141,141,28/9/2022,36.2,31.1,28/9/2022
142,142,28/9/2022,36.2,31.1,28/9/2022
143,143,28/9/2022,36.1,31.2,28/9/2022
144,144,28/9/2022,35.9,31.0,28/9/2022
145,145,28/9/2022,35.8,31.2,28/9/2022
146,146,28/9/2022,35.8,31.5,28/9/2022
147,147,28/9/2022,35.7,31.6,28/9/2022
148,148,28/9/2022,35.7,31.6,28/9/2022
149,149,28/9/2022,35.6,31.6,28/9/2022
150,150,28/9/2022,35.7,31.6,28/9/2022
151,151,28/9/2022,35.7,31.7,28/9/2022
152,152,28/9/2022,35.6,31.9,28/9/2022
153,153,28/9/2022,35.4,32.0,28/9/2022
154,154,28/9/2022,35.2,31.9,28/9/2022
155,155,28/9/2022,35.2,32.2,28/9/2022
156,156,28/9/2022,35.1,32.1,28/9/2022
157,157,28/9/2022,35.1,31.9,28/9/2022
158,158,28/9/2022,35.1,31.9,28/9/2022
159,159,28/9/2022,35.2,32.0,28/9/2022
160,160,28/9/2022,35.2,32.3,28/9/2022
161,161,28/9/2022,35.2,32.5,28/9/2022
162,162,28/9/2022,35.2,32.6,28/9/2022
163,163,28/9/2022,35.3,32.7,28/9/2022
164,164,28/9/2022,35.3,32.6,28/9/2022
165,165,28/9/2022,35.2,32.7,28/9/2022
166,166,28/9/2022,35.2,32.9,28/9/2022
167,167,28/9/2022,35.1,32.8,28/9/2022
168,168,28/9/2022,35.1,32.7,28/9/2022
169,169,28/9/2022,35.0,32.6,28/9/2022
170,170,28/9/2022,35.0,32.7,28/9/2022
171,171,28/9/2022,34.9,32.6,28/9/2022
172,172,28/9/2022,34.9,32.4,28/9/2022
173,173,28/9/2022,34.8,32.5,28/9/2022
174,174,28/9/2022,34.8,32.7,28/9/2022
175,175,28/9/2022,34.8,32.9,28/9/2022
176,176,28/9/2022,34.9,32.9,28/9/2022
177,177,28/9/2022,34.9,32.4,28/9/2022
178,178,28/9/2022,34.9,31.9,28/9/2022
179,179,28/9/2022,35.0,32.6,28/9/2022
180,180,28/9/2022,35.0,32.8,28/9/2022
181,181,28/9/2022,35.0,33.7,28/9/2022
182,182,28/9/2022,34.9,31.9,28/9/2022
183,183,28/9/2022,34.9,32.1,28/9/2022
184,184,28/9/2022,34.8,32.3,28/9/2022
185,185,28/9/2022,34.8,32.4,28/9/2022
186,186,28/9/2022,34.7,32.4,28/9/2022
187,187,28/9/2022,34.8,32.6,28/9/2022
188,188,28/9/2022,34.7,32.6,28/9/2022
189,189,28/9/2022,34.8,32.5,28/9/2022
190,190,28/9/2022,34.7,32.5,28/9/2022
191,191,28/9/2022,34.7,32.6,28/9/2022
192,192,28/9/2022,34.7,32.0,28/9/2022
193,193,28/9/2022,34.8,32.6,28/9/2022
194,194,28/9/2022,34.7,32.7,28/9/2022
195,195,28/9/2022,34.7,32.7,28/9/2022
196,196,28/9/2022,34.9,32.4,28/9/2022
197,197,28/9/2022,34.8,32.3,28/9/2022
198,198,28/9/2022,34.9,32.2,28/9/2022
199,199,28/9/2022,35.0,31.9,28/9/2022
200,200,28/9/2022,35.0,32.2,28/9/2022
201,201,28/9/2022,35.0,32.2,28/9/2022
202,202,28/9/2022,35.0,31.9,28/9/2022
