,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
121,121,24.2,69.1,24/10/2022,24/10/2022
122,122,24.2,69.0,24/10/2022,24/10/2022
123,123,24.3,68.9,24/10/2022,24/10/2022
124,124,24.3,68.7,24/10/2022,24/10/2022
125,125,24.4,68.7,24/10/2022,24/10/2022
126,126,24.4,68.6,24/10/2022,24/10/2022
127,127,24.4,68.5,24/10/2022,24/10/2022
128,128,24.4,68.3,24/10/2022,24/10/2022
129,129,24.5,68.2,24/10/2022,24/10/2022
130,130,24.5,68.1,24/10/2022,24/10/2022
131,131,24.5,67.9,24/10/2022,24/10/2022
132,132,24.5,67.8,24/10/2022,24/10/2022
133,133,24.5,67.7,24/10/2022,24/10/2022
134,134,24.6,67.7,24/10/2022,24/10/2022
135,135,24.6,67.7,24/10/2022,24/10/2022
136,136,24.6,67.7,24/10/2022,24/10/2022
137,137,24.7,67.6,24/10/2022,24/10/2022
138,138,24.7,67.8,24/10/2022,24/10/2022
139,139,24.7,67.8,24/10/2022,24/10/2022
140,140,24.8,67.9,24/10/2022,24/10/2022
141,141,24.8,67.9,24/10/2022,24/10/2022
142,142,24.8,67.8,24/10/2022,24/10/2022
143,143,24.9,67.5,24/10/2022,24/10/2022
144,144,24.9,66.7,24/10/2022,24/10/2022
145,145,24.9,66.8,24/10/2022,24/10/2022
146,146,24.8,66.6,24/10/2022,24/10/2022
147,147,24.9,66.7,24/10/2022,24/10/2022
148,148,24.9,66.7,24/10/2022,24/10/2022
149,149,24.9,66.7,24/10/2022,24/10/2022
150,150,25.0,66.6,24/10/2022,24/10/2022
151,151,25.0,66.5,24/10/2022,24/10/2022
152,152,25.0,66.3,24/10/2022,24/10/2022
153,153,25.1,66.2,24/10/2022,24/10/2022
154,154,25.1,65.7,24/10/2022,24/10/2022
155,155,25.0,65.4,24/10/2022,24/10/2022
156,156,25.0,65.4,24/10/2022,24/10/2022
157,157,25.0,65.5,24/10/2022,24/10/2022
158,158,25.0,65.6,24/10/2022,24/10/2022
159,159,24.9,65.7,24/10/2022,24/10/2022
160,160,24.9,65.9,24/10/2022,24/10/2022
161,161,25.0,65.9,24/10/2022,24/10/2022
162,162,25.0,65.9,24/10/2022,24/10/2022
163,163,25.0,65.9,24/10/2022,24/10/2022
164,164,25.0,65.8,24/10/2022,24/10/2022
165,165,25.1,65.7,24/10/2022,24/10/2022
166,166,25.1,65.6,24/10/2022,24/10/2022
167,167,25.2,65.6,24/10/2022,24/10/2022
168,168,25.2,65.6,24/10/2022,24/10/2022
169,169,25.2,65.6,24/10/2022,24/10/2022
170,170,25.3,65.5,24/10/2022,24/10/2022
171,171,25.3,65.2,24/10/2022,24/10/2022
172,172,25.4,65.0,24/10/2022,24/10/2022
173,173,25.4,64.7,24/10/2022,24/10/2022
174,174,25.4,64.5,24/10/2022,24/10/2022
175,175,25.5,64.2,24/10/2022,24/10/2022
176,176,25.5,64.0,24/10/2022,24/10/2022
177,177,25.5,64.1,24/10/2022,24/10/2022
178,178,25.5,64.1,24/10/2022,24/10/2022
179,179,25.6,64.2,24/10/2022,24/10/2022
180,180,25.7,64.0,24/10/2022,24/10/2022
181,181,25.8,63.8,24/10/2022,24/10/2022
182,182,25.8,63.5,24/10/2022,24/10/2022
183,183,25.9,63.3,24/10/2022,24/10/2022
184,184,26.0,63.1,24/10/2022,24/10/2022
185,185,26.1,62.8,24/10/2022,24/10/2022
186,186,26.2,61.9,24/10/2022,24/10/2022
187,187,26.2,60.9,24/10/2022,24/10/2022
188,188,26.1,60.6,24/10/2022,24/10/2022
189,189,26.0,60.7,24/10/2022,24/10/2022
190,190,25.8,60.6,24/10/2022,24/10/2022
191,191,25.7,60.8,24/10/2022,24/10/2022
192,192,25.6,61.2,24/10/2022,24/10/2022
193,193,25.7,61.4,24/10/2022,24/10/2022
194,194,25.7,61.5,24/10/2022,24/10/2022
195,195,25.9,61.7,24/10/2022,24/10/2022
196,196,26.0,61.5,24/10/2022,24/10/2022
197,197,26.1,61.3,24/10/2022,24/10/2022
198,198,26.2,61.4,24/10/2022,24/10/2022
199,199,26.3,61.3,24/10/2022,24/10/2022
200,200,26.4,61.1,24/10/2022,24/10/2022
201,201,26.4,60.3,24/10/2022,24/10/2022
202,202,26.4,60.1,24/10/2022,24/10/2022
203,203,26.3,59.7,24/10/2022,24/10/2022
204,204,26.3,59.9,24/10/2022,24/10/2022
205,205,26.4,60.1,24/10/2022,24/10/2022
206,206,26.4,60.0,24/10/2022,24/10/2022
207,207,26.5,59.9,24/10/2022,24/10/2022
208,208,26.6,59.5,24/10/2022,24/10/2022
209,209,26.5,58.9,24/10/2022,24/10/2022
210,210,26.4,58.9,24/10/2022,24/10/2022
211,211,26.3,59.0,24/10/2022,24/10/2022
212,212,26.3,59.2,24/10/2022,24/10/2022
213,213,26.4,59.3,24/10/2022,24/10/2022
214,214,26.5,59.5,24/10/2022,24/10/2022
215,215,26.6,59.3,24/10/2022,24/10/2022
216,216,26.8,59.2,24/10/2022,24/10/2022
217,217,26.9,59.1,24/10/2022,24/10/2022
218,218,27.1,59.1,24/10/2022,24/10/2022
219,219,27.2,58.9,24/10/2022,24/10/2022
220,220,27.3,58.5,24/10/2022,24/10/2022
221,221,27.5,58.1,24/10/2022,24/10/2022
222,222,27.6,58.0,24/10/2022,24/10/2022
223,223,27.7,58.6,24/10/2022,24/10/2022
224,224,27.9,58.8,24/10/2022,24/10/2022
225,225,28.0,57.7,24/10/2022,24/10/2022
226,226,28.1,60.2,24/10/2022,24/10/2022
227,227,28.1,63.7,24/10/2022,24/10/2022
228,228,28.2,63.7,24/10/2022,24/10/2022
229,229,28.2,63.1,24/10/2022,24/10/2022
230,230,28.2,62.5,24/10/2022,24/10/2022
231,231,28.1,61.8,24/10/2022,24/10/2022
232,232,28.0,61.6,24/10/2022,24/10/2022
233,233,28.0,61.7,24/10/2022,24/10/2022
234,234,28.0,61.6,24/10/2022,24/10/2022
235,235,28.0,61.4,24/10/2022,24/10/2022
236,236,28.0,61.2,24/10/2022,24/10/2022
237,237,28.0,60.7,24/10/2022,24/10/2022
238,238,28.0,60.5,24/10/2022,24/10/2022
239,239,27.9,60.3,24/10/2022,24/10/2022
240,240,27.9,60.0,24/10/2022,24/10/2022
241,241,27.9,60.0,24/10/2022,24/10/2022
242,242,27.9,60.1,24/10/2022,24/10/2022
243,243,27.9,60.2,24/10/2022,24/10/2022
244,244,27.9,60.0,24/10/2022,24/10/2022
245,245,27.9,59.7,24/10/2022,24/10/2022
246,246,27.8,59.4,24/10/2022,24/10/2022
247,247,27.7,59.0,24/10/2022,24/10/2022
248,248,27.6,58.7,24/10/2022,24/10/2022
249,249,27.5,58.6,24/10/2022,24/10/2022
250,250,27.3,58.6,24/10/2022,24/10/2022
251,251,27.1,58.6,24/10/2022,24/10/2022
252,252,26.9,59.2,24/10/2022,24/10/2022
253,253,26.7,59.8,24/10/2022,24/10/2022
254,254,26.6,60.2,24/10/2022,24/10/2022
255,255,26.6,60.5,24/10/2022,24/10/2022
256,256,26.5,60.8,24/10/2022,24/10/2022
257,257,26.3,61.0,24/10/2022,24/10/2022
258,258,26.2,61.4,24/10/2022,24/10/2022
259,259,26.2,61.6,24/10/2022,24/10/2022
260,260,26.1,61.8,24/10/2022,24/10/2022
261,261,26.2,62.0,24/10/2022,24/10/2022
262,262,26.2,62.2,24/10/2022,24/10/2022
263,263,26.2,62.3,24/10/2022,24/10/2022
264,264,26.2,62.3,24/10/2022,24/10/2022
265,265,26.2,62.2,24/10/2022,24/10/2022
266,266,26.2,62.1,24/10/2022,24/10/2022
267,267,26.2,62.2,24/10/2022,24/10/2022
268,268,26.2,62.4,24/10/2022,24/10/2022
269,269,26.2,62.7,24/10/2022,24/10/2022
270,270,26.2,62.7,24/10/2022,24/10/2022
271,271,26.3,62.8,24/10/2022,24/10/2022
272,272,26.4,62.9,24/10/2022,24/10/2022
273,273,26.6,62.7,24/10/2022,24/10/2022
274,274,26.7,62.7,24/10/2022,24/10/2022
275,275,26.9,62.5,24/10/2022,24/10/2022
276,276,27.0,62.1,24/10/2022,24/10/2022
277,277,27.1,61.7,24/10/2022,24/10/2022
278,278,27.2,61.5,24/10/2022,24/10/2022
279,279,27.3,61.1,24/10/2022,24/10/2022
280,280,27.5,61.0,24/10/2022,24/10/2022
281,281,27.5,60.2,24/10/2022,24/10/2022
282,282,27.7,60.7,24/10/2022,24/10/2022
283,283,27.7,61.1,24/10/2022,24/10/2022
284,284,27.8,62.0,24/10/2022,24/10/2022
285,285,27.8,62.7,24/10/2022,24/10/2022
286,286,27.9,63.7,24/10/2022,24/10/2022
287,287,28.0,66.8,24/10/2022,24/10/2022
288,288,28.0,66.4,24/10/2022,24/10/2022
289,289,27.9,64.5,24/10/2022,24/10/2022
290,290,27.8,64.2,24/10/2022,24/10/2022
291,291,27.6,64.0,24/10/2022,24/10/2022
292,292,27.5,63.6,24/10/2022,24/10/2022
293,293,27.4,63.5,24/10/2022,24/10/2022
294,294,27.3,63.8,24/10/2022,24/10/2022
295,295,27.3,63.1,24/10/2022,24/10/2022
296,296,27.4,63.5,24/10/2022,24/10/2022
297,297,27.4,63.5,24/10/2022,24/10/2022
298,298,27.4,63.5,24/10/2022,24/10/2022
299,299,27.5,63.7,24/10/2022,24/10/2022
300,300,27.7,63.6,24/10/2022,24/10/2022
301,301,27.9,63.6,24/10/2022,24/10/2022
302,302,28.0,63.1,24/10/2022,24/10/2022
303,303,28.1,62.3,24/10/2022,24/10/2022
304,304,28.1,62.5,24/10/2022,24/10/2022
305,305,28.2,62.8,24/10/2022,24/10/2022
306,306,28.2,63.1,24/10/2022,24/10/2022
