,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
3692,3692,40.1,29.1,30/10/2022,30/10/2022
3693,3693,40.2,29.0,30/10/2022,30/10/2022
3694,3694,40.3,29.0,30/10/2022,30/10/2022
3695,3695,40.4,28.9,30/10/2022,30/10/2022
3696,3696,40.4,28.8,30/10/2022,30/10/2022
3697,3697,40.7,28.8,30/10/2022,30/10/2022
3698,3698,40.8,28.7,30/10/2022,30/10/2022
3699,3699,41.0,28.7,30/10/2022,30/10/2022
3700,3700,41.1,28.5,30/10/2022,30/10/2022
3701,3701,41.3,28.4,30/10/2022,30/10/2022
3702,3702,41.4,28.3,30/10/2022,30/10/2022
3703,3703,41.5,28.1,30/10/2022,30/10/2022
3704,3704,41.6,28.0,30/10/2022,30/10/2022
3705,3705,41.6,28.0,30/10/2022,30/10/2022
3706,3706,41.4,27.9,30/10/2022,30/10/2022
3707,3707,41.2,27.9,30/10/2022,30/10/2022
3708,3708,41.0,28.4,30/10/2022,30/10/2022
3709,3709,40.5,28.6,30/10/2022,30/10/2022
3710,3710,40.1,29.2,30/10/2022,30/10/2022
3711,3711,39.7,29.6,30/10/2022,30/10/2022
3712,3712,39.3,30.0,30/10/2022,30/10/2022
3713,3713,39.0,30.3,30/10/2022,30/10/2022
3714,3714,38.7,30.7,30/10/2022,30/10/2022
3715,3715,38.3,31.1,30/10/2022,30/10/2022
3716,3716,37.8,31.6,30/10/2022,30/10/2022
3717,3717,37.5,32.3,30/10/2022,30/10/2022
3718,3718,37.1,32.8,30/10/2022,30/10/2022
3719,3719,36.9,33.3,30/10/2022,30/10/2022
3720,3720,36.6,33.6,30/10/2022,30/10/2022
3721,3721,36.3,33.9,30/10/2022,30/10/2022
3722,3722,36.0,34.3,30/10/2022,30/10/2022
3723,3723,35.8,34.6,30/10/2022,30/10/2022
3724,3724,35.5,35.0,30/10/2022,30/10/2022
3725,3725,35.3,35.2,30/10/2022,30/10/2022
3726,3726,35.2,35.5,30/10/2022,30/10/2022
3727,3727,35.0,35.7,30/10/2022,30/10/2022
3728,3728,34.9,36.1,30/10/2022,30/10/2022
3729,3729,34.6,36.3,30/10/2022,30/10/2022
3730,3730,34.5,36.7,30/10/2022,30/10/2022
3731,3731,34.1,36.7,30/10/2022,30/10/2022
3732,3732,33.7,37.7,30/10/2022,30/10/2022
