,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
0,0,1/1/2021,24.8,62.2,1/1/2021
1,1,1/1/2021,24.5,61.7,1/1/2021
2,2,1/1/2021,24.4,61.4,1/1/2021
3,3,1/1/2021,24.3,61.0,1/1/2021
4,4,1/1/2021,24.2,60.6,1/1/2021
5,5,1/1/2021,24.1,60.5,1/1/2021
6,6,1/1/2021,24.0,60.8,1/1/2021
7,7,1/1/2021,23.9,61.0,1/1/2021
8,8,1/1/2021,23.8,61.5,1/1/2021
9,9,1/1/2021,23.6,62.0,1/1/2021
10,10,1/1/2021,23.6,62.4,1/1/2021
11,11,1/1/2021,23.5,62.7,1/1/2021
12,12,1/1/2021,23.4,63.0,1/1/2021
13,13,1/1/2021,23.3,63.3,1/1/2021
14,14,1/1/2021,23.3,63.6,1/1/2021
15,15,1/1/2021,23.2,63.8,1/1/2021
16,16,1/1/2021,23.1,63.9,1/1/2021
17,17,1/1/2021,23.1,64.1,1/1/2021
18,18,1/1/2021,23.0,64.4,1/1/2021
19,19,1/1/2021,22.9,64.7,1/1/2021
20,20,1/1/2021,22.8,64.7,1/1/2021
21,21,1/1/2021,22.7,64.7,1/1/2021
22,22,1/1/2021,22.7,64.8,1/1/2021
23,23,1/1/2021,22.6,64.9,1/1/2021
24,24,1/1/2021,22.5,65.1,1/1/2021
25,25,1/1/2021,22.5,65.4,1/1/2021
26,26,1/1/2021,22.5,65.8,1/1/2021
27,27,1/1/2021,22.4,65.9,1/1/2021
28,28,1/1/2021,22.4,66.2,1/1/2021
29,29,1/1/2021,22.3,66.5,1/1/2021
30,30,1/1/2021,22.3,67.0,1/1/2021
31,31,1/1/2021,22.2,67.3,1/1/2021
32,32,1/1/2021,22.1,67.6,1/1/2021
33,33,1/1/2021,22.1,67.9,1/1/2021
34,34,1/1/2021,22.0,68.1,1/1/2021
35,35,1/1/2021,22.0,68.2,1/1/2021
36,36,1/1/2021,22.0,68.5,1/1/2021
37,37,1/1/2021,21.9,68.7,1/1/2021
38,38,1/1/2021,21.9,68.9,1/1/2021
39,39,1/1/2021,21.9,69.0,1/1/2021
40,40,1/1/2021,21.9,69.0,1/1/2021
41,41,1/1/2021,21.9,69.1,1/1/2021
42,42,1/1/2021,21.9,69.1,1/1/2021
43,43,1/1/2021,21.9,69.0,1/1/2021
44,44,1/1/2021,21.9,68.5,1/1/2021
45,45,1/1/2021,21.8,68.1,1/1/2021
46,46,1/1/2021,21.8,67.9,1/1/2021
47,47,1/1/2021,21.8,68.1,1/1/2021
48,48,1/1/2021,21.8,68.5,1/1/2021
49,49,1/1/2021,21.7,68.8,1/1/2021
50,50,1/1/2021,21.7,68.9,1/1/2021
51,51,1/1/2021,21.7,69.2,1/1/2021
52,52,1/1/2021,21.7,69.3,1/1/2021
53,53,1/1/2021,21.7,69.4,1/1/2021
54,54,1/1/2021,21.7,69.1,1/1/2021
55,55,1/1/2021,21.6,68.8,1/1/2021
56,56,1/1/2021,21.6,68.8,1/1/2021
57,57,1/1/2021,21.7,69.0,1/1/2021
58,58,1/1/2021,21.7,69.2,1/1/2021
59,59,1/1/2021,21.7,69.2,1/1/2021
60,60,1/1/2021,21.7,69.2,1/1/2021
61,61,1/1/2021,21.7,69.2,1/1/2021
62,62,1/1/2021,21.7,69.2,1/1/2021
63,63,1/1/2021,21.6,69.2,1/1/2021
64,64,1/1/2021,21.6,69.4,1/1/2021
65,65,1/1/2021,21.6,69.5,1/1/2021
66,66,1/1/2021,21.6,69.3,1/1/2021
67,67,1/1/2021,21.5,69.2,1/1/2021
68,68,1/1/2021,21.5,69.3,1/1/2021
69,69,1/1/2021,21.5,69.3,1/1/2021
70,70,1/1/2021,21.5,69.3,1/1/2021
71,71,1/1/2021,21.5,69.4,1/1/2021
72,72,1/1/2021,21.5,69.3,1/1/2021
73,73,1/1/2021,21.5,69.4,1/1/2021
74,74,1/1/2021,21.5,69.3,1/1/2021
75,75,1/1/2021,21.6,69.6,1/1/2021
76,76,1/1/2021,21.5,69.7,1/1/2021
77,77,1/1/2021,21.5,69.9,1/1/2021
78,78,1/1/2021,21.6,70.1,1/1/2021
79,79,1/1/2021,21.6,70.2,1/1/2021
80,80,1/1/2021,21.6,70.3,1/1/2021
81,81,1/1/2021,21.6,70.3,1/1/2021
82,82,1/1/2021,21.5,70.2,1/1/2021
83,83,1/1/2021,21.6,70.1,1/1/2021
84,84,1/1/2021,21.6,69.8,1/1/2021
85,85,1/1/2021,21.6,69.8,1/1/2021
86,86,1/1/2021,21.6,69.9,1/1/2021
87,87,1/1/2021,21.6,70.0,1/1/2021
88,88,1/1/2021,21.6,70.0,1/1/2021
89,89,1/1/2021,21.6,70.0,1/1/2021
90,90,1/1/2021,21.6,70.2,1/1/2021
91,91,1/1/2021,21.6,70.5,1/1/2021
92,92,1/1/2021,21.5,70.6,1/1/2021
93,93,1/1/2021,21.5,70.6,1/1/2021
94,94,1/1/2021,21.5,70.7,1/1/2021
95,95,1/1/2021,21.5,70.7,1/1/2021
96,96,1/1/2021,21.5,70.5,1/1/2021
97,97,1/1/2021,21.5,70.5,1/1/2021
98,98,1/1/2021,21.5,70.9,1/1/2021
99,99,1/1/2021,21.5,70.8,1/1/2021
100,100,1/1/2021,21.5,70.8,1/1/2021
101,101,1/1/2021,21.5,71.0,1/1/2021
102,102,1/1/2021,21.5,71.1,1/1/2021
103,103,1/1/2021,21.5,71.1,1/1/2021
104,104,1/1/2021,21.5,71.3,1/1/2021
105,105,1/1/2021,21.5,71.4,1/1/2021
106,106,1/1/2021,21.5,71.2,1/1/2021
107,107,1/1/2021,21.5,71.1,1/1/2021
108,108,1/1/2021,21.5,70.6,1/1/2021
109,109,1/1/2021,21.6,70.6,1/1/2021
110,110,1/1/2021,21.6,70.5,1/1/2021
111,111,1/1/2021,21.5,70.0,1/1/2021
112,112,1/1/2021,21.6,69.8,1/1/2021
113,113,1/1/2021,21.6,69.9,1/1/2021
114,114,1/1/2021,21.6,69.9,1/1/2021
115,115,1/1/2021,21.6,69.7,1/1/2021
116,116,1/1/2021,21.6,69.8,1/1/2021
117,117,1/1/2021,21.6,69.7,1/1/2021
118,118,1/1/2021,21.6,69.6,1/1/2021
119,119,1/1/2021,21.6,69.4,1/1/2021
120,120,1/1/2021,21.6,69.3,1/1/2021
121,121,1/1/2021,21.6,69.2,1/1/2021
122,122,1/1/2021,21.7,69.3,1/1/2021
123,123,1/1/2021,21.7,69.3,1/1/2021
124,124,1/1/2021,21.7,69.2,1/1/2021
125,125,1/1/2021,21.7,69.2,1/1/2021
126,126,1/1/2021,21.7,69.0,1/1/2021
127,127,1/1/2021,21.7,68.8,1/1/2021
128,128,1/1/2021,21.7,68.7,1/1/2021
129,129,1/1/2021,21.7,68.6,1/1/2021
130,130,1/1/2021,21.8,68.7,1/1/2021
131,131,1/1/2021,21.8,68.6,1/1/2021
