, Temperatura (C), Humedad (%),Fecha,Hora
151,33.6,41.2,14/10/2022,12:19
152,33.6,42.5,14/10/2022,12:19
153,33.6,42.0,14/10/2022,12:19
154,33.7,41.9,14/10/2022,12:19
155,33.7,41.5,14/10/2022,12:19
156,33.7,40.3,14/10/2022,12:19
157,33.6,39.8,14/10/2022,12:20
158,33.6,39.4,14/10/2022,12:20
159,33.6,39.4,14/10/2022,12:20
160,33.6,40.5,14/10/2022,12:20
161,33.7,40.4,14/10/2022,12:20
162,33.7,40.4,14/10/2022,12:20
163,33.8,41.3,14/10/2022,12:20
164,33.8,41.5,14/10/2022,12:20
165,33.8,41.2,14/10/2022,12:20
166,33.9,41.3,14/10/2022,12:20
167,33.9,40.6,14/10/2022,12:21
168,33.8,40.0,14/10/2022,12:21
169,33.8,40.3,14/10/2022,12:21
170,33.7,39.5,14/10/2022,12:21
171,33.6,39.5,14/10/2022,12:21
172,33.6,40.0,14/10/2022,12:21
173,33.6,40.3,14/10/2022,12:21
174,33.6,40.5,14/10/2022,12:21
175,33.6,40.2,14/10/2022,12:21
176,33.6,39.5,14/10/2022,12:21
177,33.5,39.0,14/10/2022,12:22
178,33.4,39.4,14/10/2022,12:22
179,33.4,39.3,14/10/2022,12:22
180,33.4,39.7,14/10/2022,12:22
181,33.4,39.8,14/10/2022,12:22
182,33.4,39.6,14/10/2022,12:22
183,33.3,39.8,14/10/2022,12:22
184,33.4,39.5,14/10/2022,12:22
185,33.4,39.6,14/10/2022,12:22
186,33.3,39.3,14/10/2022,12:22
187,33.4,41.7,14/10/2022,12:23
188,33.4,41.4,14/10/2022,12:23
189,33.4,40.2,14/10/2022,12:23
190,33.4,40.4,14/10/2022,12:23
191,33.5,41.5,14/10/2022,12:23
192,33.6,42.0,14/10/2022,12:23
193,33.6,44.0,14/10/2022,12:23
194,33.6,43.4,14/10/2022,12:23
195,33.7,41.7,14/10/2022,12:23
196,33.7,39.9,14/10/2022,12:23
197,33.7,39.9,14/10/2022,12:24
198,33.6,40.1,14/10/2022,12:24
199,33.6,40.1,14/10/2022,12:24
200,33.7,40.5,14/10/2022,12:24
201,33.6,39.7,14/10/2022,12:24
202,33.6,40.5,14/10/2022,12:24
203,33.6,41.0,14/10/2022,12:24
204,33.6,41.0,14/10/2022,12:24
205,33.6,41.6,14/10/2022,12:24
206,33.6,40.0,14/10/2022,12:24
207,33.7,39.8,14/10/2022,12:25
208,33.7,38.0,14/10/2022,12:25
209,33.7,37.8,14/10/2022,12:25
210,33.6,39.5,14/10/2022,12:25
211,33.7,39.3,14/10/2022,12:25
212,33.7,39.5,14/10/2022,12:25
213,33.7,40.2,14/10/2022,12:25
214,33.8,39.8,14/10/2022,12:25
215,34.0,38.9,14/10/2022,12:25
216,34.2,38.8,14/10/2022,12:25
217,34.2,39.5,14/10/2022,12:26
218,34.2,38.4,14/10/2022,12:26
219,34.2,38.3,14/10/2022,12:26
220,34.1,38.2,14/10/2022,12:26
221,34.1,37.2,14/10/2022,12:26
222,34.1,36.7,14/10/2022,12:26
223,34.1,37.2,14/10/2022,12:26
224,34.1,38.4,14/10/2022,12:26
225,34.1,38.7,14/10/2022,12:26
226,34.0,38.5,14/10/2022,12:26
227,34.0,38.9,14/10/2022,12:27
228,34.0,39.3,14/10/2022,12:27
229,34.0,39.0,14/10/2022,12:27
230,34.0,39.4,14/10/2022,12:27
231,34.1,39.7,14/10/2022,12:27
232,34.1,38.9,14/10/2022,12:27
233,34.1,39.3,14/10/2022,12:27
234,34.1,39.5,14/10/2022,12:27
235,34.0,39.2,14/10/2022,12:27
236,34.0,39.4,14/10/2022,12:27
237,33.9,40.1,14/10/2022,12:28
238,34.0,41.0,14/10/2022,12:28
239,34.0,41.2,14/10/2022,12:28
240,34.0,40.6,14/10/2022,12:28
241,34.0,40.9,14/10/2022,12:28
242,34.0,40.0,14/10/2022,12:28
243,34.0,40.2,14/10/2022,12:28
244,34.0,39.3,14/10/2022,12:28
245,33.9,39.5,14/10/2022,12:28
246,33.8,39.1,14/10/2022,12:28
247,33.8,39.1,14/10/2022,12:29
248,33.8,39.1,14/10/2022,12:29
249,33.7,39.1,14/10/2022,12:29
250,33.7,39.4,14/10/2022,12:29
251,33.7,39.7,14/10/2022,12:29
252,33.7,39.8,14/10/2022,12:29
253,33.7,39.8,14/10/2022,12:29
254,33.6,39.8,14/10/2022,12:29
255,33.6,39.6,14/10/2022,12:29
256,33.6,39.3,14/10/2022,12:29
257,33.7,39.3,14/10/2022,12:30
258,33.6,38.9,14/10/2022,12:30
259,33.6,38.7,14/10/2022,12:30
260,33.5,38.7,14/10/2022,12:30
261,33.5,39.4,14/10/2022,12:30
262,33.6,40.2,14/10/2022,12:30
263,33.6,41.4,14/10/2022,12:30
264,33.7,41.6,14/10/2022,12:30
265,33.8,41.6,14/10/2022,12:30
266,33.8,40.9,14/10/2022,12:30
267,33.9,40.7,14/10/2022,12:31
268,34.0,40.6,14/10/2022,12:31
269,34.2,40.0,14/10/2022,12:31
270,34.1,38.6,14/10/2022,12:31
271,34.1,39.4,14/10/2022,12:31
272,34.1,39.7,14/10/2022,12:31
273,34.2,40.4,14/10/2022,12:31
274,34.5,40.0,14/10/2022,12:31
275,34.7,38.9,14/10/2022,12:31
276,34.6,38.5,14/10/2022,12:31
277,34.5,37.3,14/10/2022,12:32
278,34.4,37.4,14/10/2022,12:32
279,34.4,37.8,14/10/2022,12:32
280,34.4,37.5,14/10/2022,12:32
281,34.5,36.9,14/10/2022,12:32
282,34.5,36.5,14/10/2022,12:32
283,34.6,36.2,14/10/2022,12:32
284,34.6,35.9,14/10/2022,12:32
285,34.6,36.4,14/10/2022,12:32
286,34.6,36.8,14/10/2022,12:32
287,34.7,35.8,14/10/2022,12:33
288,34.7,36.4,14/10/2022,12:33
289,34.7,36.2,14/10/2022,12:33
290,34.7,36.9,14/10/2022,12:33
291,34.6,36.5,14/10/2022,12:33
292,34.6,36.0,14/10/2022,12:33
293,34.6,35.6,14/10/2022,12:33
294,34.6,36.3,14/10/2022,12:33
295,34.6,36.4,14/10/2022,12:33
296,34.6,36.6,14/10/2022,12:33
297,34.5,35.9,14/10/2022,12:34
298,34.5,36.2,14/10/2022,12:34
299,34.4,37.3,14/10/2022,12:34
300,34.4,37.0,14/10/2022,12:34
301,34.3,37.1,14/10/2022,12:34
302,34.1,36.6,14/10/2022,12:34
303,34.1,36.8,14/10/2022,12:34
304,33.9,38.4,14/10/2022,12:34
305,34.0,38.4,14/10/2022,12:34
306,34.1,38.5,14/10/2022,12:34
307,34.3,38.4,14/10/2022,12:35
308,34.4,37.3,14/10/2022,12:35
309,34.6,38.5,14/10/2022,12:35
310,34.7,37.6,14/10/2022,12:35
311,34.8,37.1,14/10/2022,12:35
312,35.0,37.4,14/10/2022,12:35
313,35.0,36.4,14/10/2022,12:35
314,35.1,35.8,14/10/2022,12:35
315,35.2,36.7,14/10/2022,12:35
316,35.4,36.2,14/10/2022,12:35
317,35.5,36.8,14/10/2022,12:36
318,35.6,36.1,14/10/2022,12:36
319,35.7,36.1,14/10/2022,12:36
320,35.6,36.0,14/10/2022,12:36
321,35.6,36.3,14/10/2022,12:36
322,35.5,35.6,14/10/2022,12:36
323,35.5,35.6,14/10/2022,12:36
324,35.7,36.5,14/10/2022,12:36
325,35.8,36.2,14/10/2022,12:36
326,35.9,35.3,14/10/2022,12:36
327,36.0,34.6,14/10/2022,12:37
328,36.2,34.8,14/10/2022,12:37
329,36.3,34.5,14/10/2022,12:37
330,36.5,34.8,14/10/2022,12:37
331,36.6,34.4,14/10/2022,12:37
332,36.7,34.0,14/10/2022,12:37
333,36.8,35.1,14/10/2022,12:37
334,37.0,35.4,14/10/2022,12:37
335,37.1,35.7,14/10/2022,12:37
336,37.3,35.8,14/10/2022,12:37
337,37.4,35.7,14/10/2022,12:38
338,37.5,36.1,14/10/2022,12:38
339,37.6,36.0,14/10/2022,12:38
340,37.7,35.6,14/10/2022,12:38
341,37.8,35.0,14/10/2022,12:38
342,37.9,35.8,14/10/2022,12:38
343,38.0,35.5,14/10/2022,12:38
344,38.0,35.1,14/10/2022,12:38
345,38.1,34.9,14/10/2022,12:38
346,38.2,34.3,14/10/2022,12:38
347,38.2,33.9,14/10/2022,12:39
348,38.3,42.6,14/10/2022,12:39
349,38.4,38.2,14/10/2022,12:39
350,38.6,40.1,14/10/2022,12:39
351,38.6,40.5,14/10/2022,12:39
352,38.6,34.2,14/10/2022,12:39
353,38.6,34.7,14/10/2022,12:39
354,38.7,34.4,14/10/2022,12:39
355,38.8,34.1,14/10/2022,12:39
356,38.8,34.0,14/10/2022,12:39
357,38.9,33.9,14/10/2022,12:40
358,38.8,33.2,14/10/2022,12:40
359,38.7,33.2,14/10/2022,12:40
360,38.7,33.3,14/10/2022,12:40
361,38.8,34.0,14/10/2022,12:40
362,38.8,33.1,14/10/2022,12:40
363,38.6,32.8,14/10/2022,12:40
364,38.5,32.4,14/10/2022,12:40
365,38.3,32.5,14/10/2022,12:40
366,38.4,33.0,14/10/2022,12:40
367,38.6,33.3,14/10/2022,12:41
368,38.7,33.9,14/10/2022,12:41
369,38.9,34.8,14/10/2022,12:41
370,39.0,33.9,14/10/2022,12:41
371,39.0,33.3,14/10/2022,12:41
372,39.0,32.4,14/10/2022,12:41
373,39.0,33.0,14/10/2022,12:41
374,39.1,33.2,14/10/2022,12:41
375,39.1,33.5,14/10/2022,12:41
376,39.2,33.5,14/10/2022,12:41
377,39.1,33.2,14/10/2022,12:42
378,39.1,32.6,14/10/2022,12:42
379,39.0,35.0,14/10/2022,12:42
380,39.0,36.6,14/10/2022,12:42
381,39.1,32.0,14/10/2022,12:42
382,39.2,31.0,14/10/2022,12:42
383,39.1,31.0,14/10/2022,12:42
384,39.0,31.1,14/10/2022,12:42
385,39.0,31.4,14/10/2022,12:42
386,38.9,31.1,14/10/2022,12:42
387,38.7,31.1,14/10/2022,12:43
388,38.7,31.8,14/10/2022,12:43
389,38.7,32.0,14/10/2022,12:43
390,38.7,32.2,14/10/2022,12:43
391,38.6,32.1,14/10/2022,12:43
392,38.6,32.5,14/10/2022,12:43
393,38.6,32.7,14/10/2022,12:43
394,38.5,32.5,14/10/2022,12:43
395,38.5,34.4,14/10/2022,12:43
396,38.5,37.0,14/10/2022,12:43
397,38.5,41.0,14/10/2022,12:44
398,38.6,43.4,14/10/2022,12:44
399,38.4,34.2,14/10/2022,12:44
400,38.3,33.2,14/10/2022,12:44
401,38.0,31.1,14/10/2022,12:44
402,38.0,31.6,14/10/2022,12:44
403,37.8,32.0,14/10/2022,12:44
404,37.8,32.0,14/10/2022,12:44
405,37.8,32.2,14/10/2022,12:44
406,37.9,33.2,14/10/2022,12:44
407,38.0,33.6,14/10/2022,12:45
408,38.0,34.0,14/10/2022,12:45
409,38.1,34.0,14/10/2022,12:45
410,38.2,33.8,14/10/2022,12:45
411,38.2,32.9,14/10/2022,12:45
412,38.3,33.1,14/10/2022,12:45
413,38.4,33.6,14/10/2022,12:45
414,38.4,33.3,14/10/2022,12:45
415,38.6,33.6,14/10/2022,12:45
416,38.7,33.9,14/10/2022,12:45
417,38.8,33.8,14/10/2022,12:46
418,38.9,33.3,14/10/2022,12:46
419,38.9,33.0,14/10/2022,12:46
420,38.9,33.0,14/10/2022,12:46
421,39.0,33.1,14/10/2022,12:46
422,39.1,34.0,14/10/2022,12:46
423,39.0,33.5,14/10/2022,12:46
424,38.7,32.6,14/10/2022,12:46
425,38.6,32.5,14/10/2022,12:46
426,38.6,31.6,14/10/2022,12:46
427,38.6,32.4,14/10/2022,12:47
428,38.5,31.8,14/10/2022,12:47
429,38.3,32.5,14/10/2022,12:47
430,38.0,32.9,14/10/2022,12:47
431,37.8,32.3,14/10/2022,12:47
432,37.6,32.7,14/10/2022,12:47
433,37.4,33.0,14/10/2022,12:47
434,37.3,32.1,14/10/2022,12:47
435,37.1,32.5,14/10/2022,12:47
436,37.0,33.1,14/10/2022,12:47
437,36.9,33.1,14/10/2022,12:48
438,36.8,33.6,14/10/2022,12:48
439,36.6,33.5,14/10/2022,12:48
440,36.5,32.7,14/10/2022,12:48
441,36.1,32.0,14/10/2022,12:48
442,35.8,32.3,14/10/2022,12:48
443,35.7,33.2,14/10/2022,12:48
444,35.7,33.8,14/10/2022,12:48
445,35.6,35.3,14/10/2022,12:48
446,35.6,35.5,14/10/2022,12:48
447,35.6,36.3,14/10/2022,12:49
448,35.5,35.8,14/10/2022,12:49
449,35.4,35.3,14/10/2022,12:49
450,35.3,35.0,14/10/2022,12:49
451,35.2,34.9,14/10/2022,12:49
452,35.0,35.0,14/10/2022,12:49
453,35.0,35.1,14/10/2022,12:49
454,34.9,35.4,14/10/2022,12:49
455,34.8,35.0,14/10/2022,12:49
456,34.8,36.2,14/10/2022,12:49
457,34.9,36.9,14/10/2022,12:50
458,34.9,37.4,14/10/2022,12:50
459,34.9,38.4,14/10/2022,12:50
460,34.9,38.8,14/10/2022,12:50
461,34.9,38.2,14/10/2022,12:50
462,35.0,39.2,14/10/2022,12:50
463,35.0,39.1,14/10/2022,12:50
464,35.0,39.0,14/10/2022,12:50
465,35.1,38.4,14/10/2022,12:50
466,35.0,37.3,14/10/2022,12:50
467,35.0,36.7,14/10/2022,12:51
468,35.0,36.8,14/10/2022,12:51
469,34.8,36.4,14/10/2022,12:51
470,34.7,36.3,14/10/2022,12:51
471,34.6,36.5,14/10/2022,12:51
472,34.6,36.5,14/10/2022,12:51
473,34.5,37.7,14/10/2022,12:51
474,34.5,37.1,14/10/2022,12:51
475,34.5,37.8,14/10/2022,12:51
476,34.5,38.2,14/10/2022,12:51
477,34.5,38.6,14/10/2022,12:52
478,34.5,37.7,14/10/2022,12:52
479,34.6,37.4,14/10/2022,12:52
480,34.5,37.0,14/10/2022,12:52
481,34.5,37.5,14/10/2022,12:52
482,34.5,37.4,14/10/2022,12:52
483,34.4,36.9,14/10/2022,12:52
484,34.4,37.6,14/10/2022,12:52
485,34.4,38.6,14/10/2022,12:52
486,34.4,38.3,14/10/2022,12:52
487,34.4,38.7,14/10/2022,12:53
488,34.4,38.0,14/10/2022,12:53
489,34.4,37.2,14/10/2022,12:53
490,34.3,37.2,14/10/2022,12:53
491,34.3,38.0,14/10/2022,12:53
492,34.3,37.7,14/10/2022,12:53
493,34.3,37.5,14/10/2022,12:53
494,34.3,37.3,14/10/2022,12:53
495,34.3,37.7,14/10/2022,12:53
496,34.3,38.2,14/10/2022,12:53
497,34.4,38.0,14/10/2022,12:54
498,34.4,38.1,14/10/2022,12:54
499,34.4,37.9,14/10/2022,12:54
500,34.4,37.5,14/10/2022,12:54
501,34.3,36.9,14/10/2022,12:54
502,34.3,36.9,14/10/2022,12:54
503,34.3,38.0,14/10/2022,12:54
504,34.3,37.6,14/10/2022,12:54
505,34.3,37.6,14/10/2022,12:54
506,34.3,37.2,14/10/2022,12:54
507,34.2,36.3,14/10/2022,12:55
508,34.2,36.8,14/10/2022,12:55
509,34.1,37.0,14/10/2022,12:55
510,34.2,37.7,14/10/2022,12:55
511,34.2,37.4,14/10/2022,12:55
512,34.1,38.0,14/10/2022,12:55
513,34.1,38.5,14/10/2022,12:55
514,34.1,38.8,14/10/2022,12:55
515,34.3,39.0,14/10/2022,12:55
516,34.3,39.0,14/10/2022,12:55
517,34.3,39.2,14/10/2022,12:56
518,34.2,39.3,14/10/2022,12:56
519,34.3,38.6,14/10/2022,12:56
520,34.3,38.1,14/10/2022,12:56
521,34.3,38.0,14/10/2022,12:56
522,34.2,38.1,14/10/2022,12:56
523,34.2,38.2,14/10/2022,12:56
524,34.2,38.9,14/10/2022,12:56
525,34.3,40.5,14/10/2022,12:56
526,34.3,38.3,14/10/2022,12:56
527,34.3,37.1,14/10/2022,12:57
528,34.3,37.5,14/10/2022,12:57
529,34.3,38.0,14/10/2022,12:57
530,34.3,38.0,14/10/2022,12:57
531,34.2,39.5,14/10/2022,12:57
532,34.3,40.2,14/10/2022,12:57
533,34.3,40.0,14/10/2022,12:57
534,34.3,40.0,14/10/2022,12:57
535,34.3,40.5,14/10/2022,12:57
536,34.3,40.4,14/10/2022,12:57
537,34.4,40.8,14/10/2022,12:58
538,34.4,39.7,14/10/2022,12:58
539,34.4,37.9,14/10/2022,12:58
540,34.4,36.8,14/10/2022,12:58
