,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
0,0,29/9/2022,24.1,64.4,29/9/2022
1,1,29/9/2022,23.9,64.9,29/9/2022
2,2,29/9/2022,23.9,65.3,29/9/2022
3,3,29/9/2022,24.0,66.1,29/9/2022
4,4,29/9/2022,24.0,66.0,29/9/2022
5,5,29/9/2022,24.1,65.9,29/9/2022
6,6,29/9/2022,24.1,65.4,29/9/2022
7,7,29/9/2022,24.2,65.1,29/9/2022
8,8,29/9/2022,24.2,64.6,29/9/2022
9,9,29/9/2022,24.2,64.1,29/9/2022
10,10,29/9/2022,24.2,63.8,29/9/2022
11,11,29/9/2022,24.2,63.7,29/9/2022
12,12,29/9/2022,24.2,63.7,29/9/2022
13,13,29/9/2022,24.3,63.7,29/9/2022
14,14,29/9/2022,24.3,63.8,29/9/2022
15,15,29/9/2022,24.3,63.7,29/9/2022
16,16,29/9/2022,24.3,63.6,29/9/2022
17,17,29/9/2022,24.3,63.5,29/9/2022
18,18,29/9/2022,24.4,63.5,29/9/2022
19,19,29/9/2022,24.4,63.5,29/9/2022
20,20,29/9/2022,24.4,63.5,29/9/2022
21,21,29/9/2022,24.4,63.5,29/9/2022
22,22,29/9/2022,24.4,63.6,29/9/2022
23,23,29/9/2022,24.4,63.5,29/9/2022
24,24,29/9/2022,24.3,63.4,29/9/2022
25,25,29/9/2022,24.3,63.5,29/9/2022
26,26,29/9/2022,24.3,63.6,29/9/2022
27,27,29/9/2022,24.3,63.6,29/9/2022
28,28,29/9/2022,24.2,63.6,29/9/2022
29,29,29/9/2022,24.2,63.6,29/9/2022
30,30,29/9/2022,24.2,63.6,29/9/2022
31,31,29/9/2022,24.2,63.6,29/9/2022
32,32,29/9/2022,24.2,63.6,29/9/2022
33,33,29/9/2022,24.3,63.6,29/9/2022
34,34,29/9/2022,24.3,63.5,29/9/2022
35,35,29/9/2022,24.3,63.4,29/9/2022
36,36,29/9/2022,24.3,63.1,29/9/2022
37,37,29/9/2022,24.2,63.0,29/9/2022
38,38,29/9/2022,24.2,63.0,29/9/2022
39,39,29/9/2022,24.3,63.1,29/9/2022
40,40,29/9/2022,24.2,63.0,29/9/2022
41,41,29/9/2022,24.3,63.1,29/9/2022
42,42,29/9/2022,24.3,63.1,29/9/2022
43,43,29/9/2022,24.3,63.1,29/9/2022
44,44,29/9/2022,24.4,63.2,29/9/2022
45,45,29/9/2022,24.4,63.2,29/9/2022
46,46,29/9/2022,24.4,63.2,29/9/2022
47,47,29/9/2022,24.4,63.2,29/9/2022
48,48,29/9/2022,24.4,63.2,29/9/2022
49,49,29/9/2022,24.4,63.2,29/9/2022
50,50,29/9/2022,24.4,63.2,29/9/2022
51,51,29/9/2022,24.4,63.2,29/9/2022
52,52,29/9/2022,24.4,63.2,29/9/2022
53,53,29/9/2022,24.4,63.2,29/9/2022
54,54,29/9/2022,24.4,63.1,29/9/2022
55,55,29/9/2022,24.5,63.1,29/9/2022
56,56,29/9/2022,24.5,63.2,29/9/2022
57,57,29/9/2022,24.5,63.0,29/9/2022
58,58,29/9/2022,24.5,62.8,29/9/2022
59,59,29/9/2022,24.4,62.8,29/9/2022
60,60,29/9/2022,24.4,62.7,29/9/2022
