,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
0,0,24.4,73.1,29/10/2022,29/10/2022
1,1,24.7,68.6,29/10/2022,29/10/2022
2,2,24.7,68.4,29/10/2022,29/10/2022
3,3,24.7,69.0,29/10/2022,29/10/2022
4,4,24.8,69.3,29/10/2022,29/10/2022
5,5,24.8,69.6,29/10/2022,29/10/2022
6,6,24.8,69.5,29/10/2022,29/10/2022
7,7,24.8,68.9,29/10/2022,29/10/2022
8,8,24.7,68.5,29/10/2022,29/10/2022
9,9,24.7,68.8,29/10/2022,29/10/2022
10,10,24.7,69.0,29/10/2022,29/10/2022
11,11,24.7,68.6,29/10/2022,29/10/2022
12,12,24.6,68.6,29/10/2022,29/10/2022
13,13,24.6,68.6,29/10/2022,29/10/2022
14,14,24.5,68.6,29/10/2022,29/10/2022
15,15,24.6,69.0,29/10/2022,29/10/2022
16,16,24.6,69.5,29/10/2022,29/10/2022
17,17,24.6,69.1,29/10/2022,29/10/2022
18,18,24.6,68.9,29/10/2022,29/10/2022
19,19,24.6,68.6,29/10/2022,29/10/2022
20,20,24.5,68.6,29/10/2022,29/10/2022
21,21,24.5,68.8,29/10/2022,29/10/2022
22,22,24.5,69.0,29/10/2022,29/10/2022
23,23,24.5,69.6,29/10/2022,29/10/2022
24,24,24.5,70.0,29/10/2022,29/10/2022
25,25,24.5,69.7,29/10/2022,29/10/2022
26,26,24.6,69.5,29/10/2022,29/10/2022
27,27,24.6,69.4,29/10/2022,29/10/2022
28,28,24.6,69.2,29/10/2022,29/10/2022
29,29,24.7,69.2,29/10/2022,29/10/2022
30,30,24.7,68.9,29/10/2022,29/10/2022
31,31,24.7,68.9,29/10/2022,29/10/2022
32,32,24.7,68.7,29/10/2022,29/10/2022
33,33,24.7,68.7,29/10/2022,29/10/2022
34,34,24.7,68.7,29/10/2022,29/10/2022
35,35,24.7,68.7,29/10/2022,29/10/2022
36,36,24.8,68.8,29/10/2022,29/10/2022
37,37,24.8,68.8,29/10/2022,29/10/2022
38,38,24.8,68.7,29/10/2022,29/10/2022
39,39,24.9,69.0,29/10/2022,29/10/2022
40,40,24.8,68.9,29/10/2022,29/10/2022
41,41,24.9,68.6,29/10/2022,29/10/2022
42,42,24.8,68.5,29/10/2022,29/10/2022
43,43,24.9,68.4,29/10/2022,29/10/2022
44,44,24.8,68.2,29/10/2022,29/10/2022
45,45,24.9,68.1,29/10/2022,29/10/2022
46,46,24.9,68.2,29/10/2022,29/10/2022
47,47,24.9,68.2,29/10/2022,29/10/2022
48,48,24.9,68.3,29/10/2022,29/10/2022
49,49,24.9,68.1,29/10/2022,29/10/2022
50,50,24.9,67.9,29/10/2022,29/10/2022
51,51,24.9,67.7,29/10/2022,29/10/2022
52,52,24.9,67.2,29/10/2022,29/10/2022
53,53,24.9,67.5,29/10/2022,29/10/2022
54,54,25.0,67.9,29/10/2022,29/10/2022
55,55,25.0,68.0,29/10/2022,29/10/2022
56,56,25.0,67.9,29/10/2022,29/10/2022
57,57,25.0,67.9,29/10/2022,29/10/2022
58,58,25.0,68.3,29/10/2022,29/10/2022
59,59,25.0,68.5,29/10/2022,29/10/2022
60,60,25.0,68.6,29/10/2022,29/10/2022
61,61,25.1,68.7,29/10/2022,29/10/2022
62,62,25.2,68.6,29/10/2022,29/10/2022
63,63,25.1,68.5,29/10/2022,29/10/2022
64,64,25.2,68.8,29/10/2022,29/10/2022
65,65,25.2,68.2,29/10/2022,29/10/2022
66,66,25.2,67.9,29/10/2022,29/10/2022
67,67,25.3,67.2,29/10/2022,29/10/2022
68,68,25.3,65.9,29/10/2022,29/10/2022
69,69,25.3,65.7,29/10/2022,29/10/2022
70,70,25.3,65.9,29/10/2022,29/10/2022
71,71,25.2,65.7,29/10/2022,29/10/2022
72,72,25.2,65.9,29/10/2022,29/10/2022
73,73,25.2,66.4,29/10/2022,29/10/2022
74,74,25.2,66.6,29/10/2022,29/10/2022
75,75,25.2,66.9,29/10/2022,29/10/2022
76,76,25.3,67.3,29/10/2022,29/10/2022
77,77,25.3,67.3,29/10/2022,29/10/2022
78,78,25.3,67.3,29/10/2022,29/10/2022
79,79,25.2,67.3,29/10/2022,29/10/2022
80,80,25.3,67.7,29/10/2022,29/10/2022
81,81,25.3,67.7,29/10/2022,29/10/2022
82,82,25.3,67.6,29/10/2022,29/10/2022
83,83,25.3,67.6,29/10/2022,29/10/2022
84,84,25.3,67.5,29/10/2022,29/10/2022
85,85,25.4,67.0,29/10/2022,29/10/2022
86,86,25.4,66.6,29/10/2022,29/10/2022
87,87,25.4,66.4,29/10/2022,29/10/2022
88,88,25.4,66.4,29/10/2022,29/10/2022
89,89,25.4,66.4,29/10/2022,29/10/2022
90,90,25.4,66.7,29/10/2022,29/10/2022
91,91,25.5,67.1,29/10/2022,29/10/2022
92,92,25.4,67.4,29/10/2022,29/10/2022
93,93,25.4,66.7,29/10/2022,29/10/2022
94,94,25.4,66.3,29/10/2022,29/10/2022
95,95,25.4,66.0,29/10/2022,29/10/2022
96,96,25.4,65.8,29/10/2022,29/10/2022
97,97,25.4,65.6,29/10/2022,29/10/2022
98,98,25.4,65.6,29/10/2022,29/10/2022
99,99,25.4,65.5,29/10/2022,29/10/2022
100,100,25.4,65.4,29/10/2022,29/10/2022
101,101,25.5,65.9,29/10/2022,29/10/2022
102,102,25.5,65.6,29/10/2022,29/10/2022
103,103,25.5,65.7,29/10/2022,29/10/2022
104,104,25.5,65.6,29/10/2022,29/10/2022
105,105,25.5,65.5,29/10/2022,29/10/2022
106,106,25.5,65.5,29/10/2022,29/10/2022
107,107,25.5,65.6,29/10/2022,29/10/2022
108,108,25.5,65.7,29/10/2022,29/10/2022
109,109,25.5,65.5,29/10/2022,29/10/2022
110,110,25.4,65.4,29/10/2022,29/10/2022
111,111,25.5,65.6,29/10/2022,29/10/2022
112,112,25.5,65.8,29/10/2022,29/10/2022
113,113,25.5,65.9,29/10/2022,29/10/2022
114,114,25.5,66.0,29/10/2022,29/10/2022
115,115,25.6,65.8,29/10/2022,29/10/2022
116,116,25.5,65.4,29/10/2022,29/10/2022
117,117,25.5,66.0,29/10/2022,29/10/2022
118,118,25.6,65.7,29/10/2022,29/10/2022
119,119,25.5,65.4,29/10/2022,29/10/2022
120,120,25.5,65.3,29/10/2022,29/10/2022
121,121,25.5,65.6,29/10/2022,29/10/2022
122,122,25.5,65.7,29/10/2022,29/10/2022
123,123,25.5,65.8,29/10/2022,29/10/2022
124,124,25.5,65.6,29/10/2022,29/10/2022
125,125,25.5,65.5,29/10/2022,29/10/2022
126,126,25.4,65.3,29/10/2022,29/10/2022
127,127,25.4,65.4,29/10/2022,29/10/2022
128,128,25.4,65.7,29/10/2022,29/10/2022
129,129,25.4,66.0,29/10/2022,29/10/2022
130,130,25.4,66.3,29/10/2022,29/10/2022
131,131,25.5,66.0,29/10/2022,29/10/2022
132,132,25.5,66.0,29/10/2022,29/10/2022
133,133,25.5,66.0,29/10/2022,29/10/2022
134,134,25.5,65.9,29/10/2022,29/10/2022
135,135,25.5,66.1,29/10/2022,29/10/2022
136,136,25.5,66.0,29/10/2022,29/10/2022
137,137,25.5,66.0,29/10/2022,29/10/2022
138,138,25.5,65.9,29/10/2022,29/10/2022
139,139,25.5,66.1,29/10/2022,29/10/2022
140,140,25.5,66.1,29/10/2022,29/10/2022
141,141,25.6,66.1,29/10/2022,29/10/2022
142,142,25.6,66.0,29/10/2022,29/10/2022
143,143,25.6,65.9,29/10/2022,29/10/2022
144,144,25.6,65.9,29/10/2022,29/10/2022
145,145,25.6,66.5,29/10/2022,29/10/2022
146,146,25.6,67.1,29/10/2022,29/10/2022
147,147,25.6,67.3,29/10/2022,29/10/2022
148,148,25.7,67.0,29/10/2022,29/10/2022
149,149,25.6,66.3,29/10/2022,29/10/2022
150,150,25.6,66.4,29/10/2022,29/10/2022
151,151,25.6,65.9,29/10/2022,29/10/2022
152,152,25.6,65.8,29/10/2022,29/10/2022
153,153,25.6,66.0,29/10/2022,29/10/2022
154,154,25.6,66.1,29/10/2022,29/10/2022
155,155,25.6,66.0,29/10/2022,29/10/2022
156,156,25.6,65.9,29/10/2022,29/10/2022
157,157,25.6,65.7,29/10/2022,29/10/2022
158,158,25.6,65.7,29/10/2022,29/10/2022
159,159,25.6,65.9,29/10/2022,29/10/2022
160,160,25.6,65.7,29/10/2022,29/10/2022
161,161,25.6,65.8,29/10/2022,29/10/2022
162,162,25.7,65.8,29/10/2022,29/10/2022
163,163,25.6,65.5,29/10/2022,29/10/2022
164,164,25.7,65.5,29/10/2022,29/10/2022
165,165,25.6,65.3,29/10/2022,29/10/2022
166,166,25.6,65.3,29/10/2022,29/10/2022
167,167,25.6,65.8,29/10/2022,29/10/2022
168,168,25.6,66.0,29/10/2022,29/10/2022
169,169,25.6,65.9,29/10/2022,29/10/2022
170,170,25.6,66.1,29/10/2022,29/10/2022
171,171,25.6,66.0,29/10/2022,29/10/2022
172,172,25.6,65.5,29/10/2022,29/10/2022
173,173,25.6,65.3,29/10/2022,29/10/2022
174,174,25.5,65.4,29/10/2022,29/10/2022
175,175,25.5,65.6,29/10/2022,29/10/2022
176,176,25.5,65.7,29/10/2022,29/10/2022
177,177,25.5,65.8,29/10/2022,29/10/2022
178,178,25.5,65.5,29/10/2022,29/10/2022
179,179,25.4,65.2,29/10/2022,29/10/2022
180,180,25.4,65.4,29/10/2022,29/10/2022
181,181,25.4,65.7,29/10/2022,29/10/2022
182,182,25.4,65.5,29/10/2022,29/10/2022
183,183,25.4,65.5,29/10/2022,29/10/2022
184,184,25.3,65.6,29/10/2022,29/10/2022
185,185,25.3,65.6,29/10/2022,29/10/2022
186,186,25.3,65.9,29/10/2022,29/10/2022
187,187,25.3,65.9,29/10/2022,29/10/2022
188,188,25.3,65.9,29/10/2022,29/10/2022
189,189,25.4,65.9,29/10/2022,29/10/2022
190,190,25.4,66.0,29/10/2022,29/10/2022
191,191,25.4,65.9,29/10/2022,29/10/2022
192,192,25.4,65.7,29/10/2022,29/10/2022
193,193,25.4,65.6,29/10/2022,29/10/2022
194,194,25.4,65.8,29/10/2022,29/10/2022
195,195,25.4,65.9,29/10/2022,29/10/2022
196,196,25.4,65.7,29/10/2022,29/10/2022
197,197,25.4,65.6,29/10/2022,29/10/2022
198,198,25.4,65.8,29/10/2022,29/10/2022
199,199,25.4,65.8,29/10/2022,29/10/2022
200,200,25.4,65.8,29/10/2022,29/10/2022
201,201,25.4,66.0,29/10/2022,29/10/2022
202,202,25.4,65.8,29/10/2022,29/10/2022
203,203,25.4,65.8,29/10/2022,29/10/2022
204,204,25.4,66.1,29/10/2022,29/10/2022
205,205,25.4,65.9,29/10/2022,29/10/2022
206,206,25.4,66.1,29/10/2022,29/10/2022
207,207,25.4,66.6,29/10/2022,29/10/2022
208,208,25.5,67.2,29/10/2022,29/10/2022
209,209,25.5,67.1,29/10/2022,29/10/2022
210,210,25.5,66.6,29/10/2022,29/10/2022
211,211,25.6,66.7,29/10/2022,29/10/2022
212,212,25.6,66.5,29/10/2022,29/10/2022
213,213,25.6,65.9,29/10/2022,29/10/2022
214,214,25.6,65.7,29/10/2022,29/10/2022
215,215,25.6,65.5,29/10/2022,29/10/2022
216,216,25.6,65.4,29/10/2022,29/10/2022
217,217,25.6,65.3,29/10/2022,29/10/2022
218,218,25.5,65.3,29/10/2022,29/10/2022
219,219,25.5,65.3,29/10/2022,29/10/2022
220,220,25.5,65.3,29/10/2022,29/10/2022
221,221,25.5,65.5,29/10/2022,29/10/2022
222,222,25.4,65.4,29/10/2022,29/10/2022
223,223,25.4,65.7,29/10/2022,29/10/2022
224,224,25.4,65.8,29/10/2022,29/10/2022
225,225,25.4,65.9,29/10/2022,29/10/2022
226,226,25.4,66.2,29/10/2022,29/10/2022
227,227,25.4,66.1,29/10/2022,29/10/2022
228,228,25.4,66.0,29/10/2022,29/10/2022
229,229,25.4,66.3,29/10/2022,29/10/2022
230,230,25.4,66.5,29/10/2022,29/10/2022
231,231,25.4,66.2,29/10/2022,29/10/2022
232,232,25.4,65.8,29/10/2022,29/10/2022
233,233,25.4,65.7,29/10/2022,29/10/2022
234,234,25.4,65.8,29/10/2022,29/10/2022
235,235,25.3,65.7,29/10/2022,29/10/2022
236,236,25.4,65.9,29/10/2022,29/10/2022
237,237,25.3,65.8,29/10/2022,29/10/2022
238,238,25.3,65.8,29/10/2022,29/10/2022
239,239,25.3,64.8,29/10/2022,29/10/2022
240,240,25.4,64.7,29/10/2022,29/10/2022
241,241,25.4,64.8,29/10/2022,29/10/2022
242,242,25.4,65.0,29/10/2022,29/10/2022
243,243,25.4,65.2,29/10/2022,29/10/2022
244,244,25.4,65.4,29/10/2022,29/10/2022
245,245,25.4,65.5,29/10/2022,29/10/2022
246,246,25.5,65.7,29/10/2022,29/10/2022
247,247,25.5,65.6,29/10/2022,29/10/2022
248,248,25.5,65.2,29/10/2022,29/10/2022
249,249,25.4,65.1,29/10/2022,29/10/2022
250,250,25.4,65.1,29/10/2022,29/10/2022
251,251,25.4,65.1,29/10/2022,29/10/2022
252,252,25.4,65.2,29/10/2022,29/10/2022
253,253,25.4,65.3,29/10/2022,29/10/2022
254,254,25.4,65.5,29/10/2022,29/10/2022
255,255,25.4,65.5,29/10/2022,29/10/2022
256,256,25.4,65.3,29/10/2022,29/10/2022
257,257,25.5,65.0,29/10/2022,29/10/2022
258,258,25.5,65.5,29/10/2022,29/10/2022
259,259,25.5,65.8,29/10/2022,29/10/2022
260,260,25.5,66.1,29/10/2022,29/10/2022
261,261,25.5,66.2,29/10/2022,29/10/2022
262,262,25.6,66.5,29/10/2022,29/10/2022
263,263,25.6,65.0,29/10/2022,29/10/2022
264,264,25.6,64.9,29/10/2022,29/10/2022
265,265,25.6,64.4,29/10/2022,29/10/2022
266,266,25.6,64.4,29/10/2022,29/10/2022
267,267,25.6,65.2,29/10/2022,29/10/2022
268,268,25.5,64.7,29/10/2022,29/10/2022
269,269,25.6,64.7,29/10/2022,29/10/2022
270,270,25.5,64.0,29/10/2022,29/10/2022
271,271,25.6,63.4,29/10/2022,29/10/2022
272,272,25.5,62.9,29/10/2022,29/10/2022
273,273,25.5,62.8,29/10/2022,29/10/2022
274,274,25.5,62.8,29/10/2022,29/10/2022
275,275,25.5,63.2,29/10/2022,29/10/2022
276,276,25.5,63.2,29/10/2022,29/10/2022
277,277,25.5,63.4,29/10/2022,29/10/2022
278,278,25.4,63.5,29/10/2022,29/10/2022
279,279,25.4,63.8,29/10/2022,29/10/2022
280,280,25.4,63.6,29/10/2022,29/10/2022
281,281,25.4,63.4,29/10/2022,29/10/2022
282,282,25.3,63.2,29/10/2022,29/10/2022
283,283,25.3,63.3,29/10/2022,29/10/2022
284,284,25.3,63.3,29/10/2022,29/10/2022
285,285,25.2,63.6,29/10/2022,29/10/2022
286,286,25.2,64.0,29/10/2022,29/10/2022
287,287,25.2,64.0,29/10/2022,29/10/2022
288,288,25.2,63.6,29/10/2022,29/10/2022
289,289,25.1,63.5,29/10/2022,29/10/2022
290,290,25.1,63.7,29/10/2022,29/10/2022
291,291,25.1,64.0,29/10/2022,29/10/2022
292,292,25.1,64.4,29/10/2022,29/10/2022
293,293,25.1,64.9,29/10/2022,29/10/2022
294,294,25.0,65.1,29/10/2022,29/10/2022
295,295,25.1,65.2,29/10/2022,29/10/2022
296,296,25.1,65.2,29/10/2022,29/10/2022
297,297,25.1,65.3,29/10/2022,29/10/2022
298,298,25.1,65.4,29/10/2022,29/10/2022
299,299,25.1,65.6,29/10/2022,29/10/2022
300,300,25.2,65.8,29/10/2022,29/10/2022
301,301,25.1,65.6,29/10/2022,29/10/2022
302,302,25.2,66.0,29/10/2022,29/10/2022
303,303,25.2,66.0,29/10/2022,29/10/2022
304,304,25.2,65.8,29/10/2022,29/10/2022
305,305,25.2,66.0,29/10/2022,29/10/2022
306,306,25.2,66.4,29/10/2022,29/10/2022
307,307,25.3,66.2,29/10/2022,29/10/2022
308,308,25.2,65.8,29/10/2022,29/10/2022
309,309,25.3,65.6,29/10/2022,29/10/2022
310,310,25.3,65.8,29/10/2022,29/10/2022
311,311,25.3,65.5,29/10/2022,29/10/2022
312,312,25.4,65.3,29/10/2022,29/10/2022
313,313,25.4,65.1,29/10/2022,29/10/2022
314,314,25.4,65.1,29/10/2022,29/10/2022
315,315,25.4,65.5,29/10/2022,29/10/2022
316,316,25.4,65.6,29/10/2022,29/10/2022
317,317,25.4,65.7,29/10/2022,29/10/2022
318,318,25.4,65.5,29/10/2022,29/10/2022
319,319,25.4,64.7,29/10/2022,29/10/2022
320,320,25.4,64.7,29/10/2022,29/10/2022
321,321,25.5,64.9,29/10/2022,29/10/2022
322,322,25.5,64.8,29/10/2022,29/10/2022
323,323,25.5,64.8,29/10/2022,29/10/2022
324,324,25.5,64.7,29/10/2022,29/10/2022
325,325,25.5,64.9,29/10/2022,29/10/2022
326,326,25.5,65.0,29/10/2022,29/10/2022
327,327,25.5,65.1,29/10/2022,29/10/2022
328,328,25.5,65.0,29/10/2022,29/10/2022
329,329,25.5,64.7,29/10/2022,29/10/2022
330,330,25.5,64.6,29/10/2022,29/10/2022
331,331,25.6,64.6,29/10/2022,29/10/2022
332,332,25.6,64.6,29/10/2022,29/10/2022
333,333,25.6,64.6,29/10/2022,29/10/2022
334,334,25.6,64.9,29/10/2022,29/10/2022
335,335,25.6,65.2,29/10/2022,29/10/2022
336,336,25.6,64.8,29/10/2022,29/10/2022
337,337,25.6,64.5,29/10/2022,29/10/2022
338,338,25.7,64.4,29/10/2022,29/10/2022
339,339,25.7,64.2,29/10/2022,29/10/2022
340,340,25.7,64.2,29/10/2022,29/10/2022
341,341,25.7,64.3,29/10/2022,29/10/2022
342,342,25.7,64.0,29/10/2022,29/10/2022
343,343,25.7,64.0,29/10/2022,29/10/2022
344,344,25.7,64.0,29/10/2022,29/10/2022
345,345,25.7,64.0,29/10/2022,29/10/2022
346,346,25.7,64.0,29/10/2022,29/10/2022
347,347,25.6,63.9,29/10/2022,29/10/2022
348,348,25.6,64.2,29/10/2022,29/10/2022
349,349,25.6,64.2,29/10/2022,29/10/2022
350,350,25.6,64.2,29/10/2022,29/10/2022
351,351,25.6,64.3,29/10/2022,29/10/2022
352,352,25.7,64.4,29/10/2022,29/10/2022
353,353,25.7,64.3,29/10/2022,29/10/2022
354,354,25.7,64.4,29/10/2022,29/10/2022
